date,user,rating,review,thumbsUpCount
2024-11-09 02:41:24,Monica Cahyani,1,aplikasi pelayanan publik yang buruk,0
2024-11-09 02:37:53,Abuy Oren,5,Semoga semakin baik lagi & Jaya Selalu ..,0
2024-11-09 02:29:10,Rika Noorianti,5,"ga nyangka perpanjang sim online bisa se cepat kilat ini, bravo polri 😍",0
2024-11-09 02:04:19,David bo,1,Eror,0
2024-11-09 01:55:07,Debby Eko Saputra,1,"Mau registrasi tidak bisa, dengan kode terjadi kesalahan pastikan NIK sesuai, padahal sudah sesuai",0
2024-11-09 01:41:23,Rudi Saputra,1,"Kecewa, dulu sebentar buat SIM Online nya, tp sekarang susah.... Katanya Pastikan NIK sesuai, padahal saya sudah terdaftar perpanjang SIM sebelum nya...",0
2024-11-09 01:21:41,didik wahyu,1,Verifikasi foto wajah susah sekali.... Buat aplikasi ko kelihatan alakadarnya....,0
2024-11-09 01:12:36,Laila Mutohar,5,Bagus,0
2024-11-09 00:54:46,achmad biyan aldinata,3,"Maaf saya kasih bintang 3, Capek sama verifikasi data ktp yang tidak ada selesainya 😌",0
2024-11-09 00:28:47,Herman Bjm,5,mudah di mengerti sangat membantu,0
2024-11-09 00:01:43,Ceu Weni 229,5,Perpanjangan sim menjadi lebih mudah lebih cepat,0
2024-11-08 23:50:43,Nolan Permatasari,3,Membuat darah tinggi...😂😂😂,0
2024-11-08 23:44:18,abdul Mujib,1,Verifikasi wajah tak pernah berhasil,0
2024-11-08 23:07:19,Yudi Prasetio,1,"Gajelas verifikasi sulit berkali2 coba gapernah bisaa, tolong laah diperbaiki sangat tidak membantu",0
2024-11-08 22:45:55,MEIRI TRI MAHARANI,5,Mempermudah tapi harus sabar nunggu antrean:),0
2024-11-08 22:45:39,saras,2,Sudah coba berkali2 dan sudah dalat notifikasi tapi kenyataan belum berhasil buka walau ada notifikasi SMS selamat dam sudah bisa buka kembali. Saya coba terus sampai pulsa habis loh. Ampum deh,0
2024-11-08 21:57:03,Ardani Muhammad,5,enak g ribet,0
2024-11-08 21:28:08,Fatur Rohman,2,Prosesnya lama,0
2024-11-08 20:16:14,Albert Firdaus,1,"Mending perpanjang ditempat, serius",0
2024-11-08 16:55:40,Arif Setiawan,5,Sagat membantu,0
2024-11-08 15:59:58,Yoga Setiawan,5,Mantap,0
2024-11-08 15:23:05,Bagaz Arief,1,instal>hapus..setengah jam cuma untuk verifikasi e-ktp(verif wajah) cahaya terang sinyal kuat masih tetap gak bisa,0
2024-11-08 15:14:42,Fransiskus Thomas,1,"APLIKASI SAMPAH! VERIFIKASI E-KTP SELALU GAGAL SEMUA SUDAH DILAKUKAN SESUAI INSTRUKSI KAYA ORANG BEGO, KEDIP NGANGGUK BUKA MULUT!",0
2024-11-08 15:11:47,agung sumedi,5,Terimakasih. Semua lancar dan sangat membantu. Pertahankan dan di kembangkan lagi buat pelayanan yg lainnya ya min.,0
2024-11-08 14:53:49,Lukman Hakim,1,Perpanjangan SIM sangat lama,0
2024-11-08 14:46:54,Anggita Chandra,5,Sangat memuaskan,0
2024-11-08 13:54:11,Irsyad Aa,1,"Ribet bangsul, verifikasi susah amat",0
2024-11-08 13:38:54,abdul yunus,1,"Aplikasi payah,mau verifikasi saja susahnya minta ampun,aplikasi kok gini amat ya",0
2024-11-08 13:36:12,asep yudi,4,Sangat mempermudah perpanjang SIM tapi prosesnya lama,0
2024-11-08 13:21:04,Hafit Prasetyo,5,"Inovasi dari Digital Korlantas POLRI Perpanjangan SIM A yang sangat mudah, cepat, tanpa calo, murah pula Matur suwun POLRI",0
2024-11-08 12:09:51,lexus 3second,5,Bagus 3 hari sim sudah dikirim terima kasih polres serang,0
2024-11-08 11:58:13,M. REZA,1,"Aplikasi bobrok,disuruh verifikasi wajah,udah terang foto pun gamau,sampah",0
2024-11-08 11:49:36,Arey Remci,4,Lupa pin,0
2024-11-08 11:40:37,Supri Yadi,5,Bermanfaat dan membantu Terimakasih KORLANTAS,0
2024-11-08 11:31:49,DANA,5,Mantap!!!,1
2024-11-08 11:17:52,Riyan Hidayat,5,Makasi dengan aplikasi ini bisa sangat membantu untuk mempermudah perpanjang sim di dalam kesibukan kerja🙏🙏😁,0
2024-11-08 10:38:53,Yoda Widiyanto,2,Mumet banget,0
2024-11-08 10:33:40,Marcdyan 12,5,"Untuk perpanjangan SIM sangat memuaskan tidak perlu capek"", proses cepat pengiriman cepat",0
2024-11-08 10:28:18,ABI ARSYILA,1,Gak bisa di gunakan menu SM,0
2024-11-08 09:55:11,Nopy Ulandari,5,Semoga selalu diberikan pelayanan yang terbaik,0
2024-11-08 09:42:18,Sumber Rezeki,1,Kenapa punya sy loading terus mau cek no sim,0
2024-11-08 09:11:35,tiar dewi,5,Proses sangat cepat,0
2024-11-08 09:05:56,Muhammad Rafdi,5,Mantap,0
2024-11-08 08:52:53,Khairul Huda,5,Aplikasi aangat membantu dan mudah digunakan,0
2024-11-08 08:48:11,Erlyana Desy,1,"Banyak eror, aplikasi sering keluar sendiri kebanyakan bug",0
2024-11-08 08:43:33,Sri Sudianti,5,"Sejauh ini aman dan lancar, saya pengajuan tanggal 29 Oktober, SIM diterima tanggal 08 November setelah DM Instagram Satpas yang saya pilih karena dalam 1 minggu belum diproses juga, akhirnya direspon dan diproses, terimakasih, aplikasinya sangat membantu, semoga bisa terus ditingkatkan lagi",0
2024-11-08 08:35:35,Estu wahyu Utomo,1,aplikasi sampah mau verivikasi ktp aja gagal puluhan kali,0
2024-11-08 08:08:30,Puji Setya,5,Terimakasih digital porlantas.. sangat membantu,0
2024-11-08 07:55:04,Gun Gun,5,Proses cepat Sukses selalu polres tangerang selatan,0
2024-11-08 07:34:41,nasran lepi,5,Sangat puas menggunakan aplikasi ini. Sangat membantu. Terima kasih,0
2024-11-08 07:28:09,Chandra Kurniawan,3,"Tanggal 7 November 2024 mengajukan perpanjangan SIM A secara online di Digital Korlantas sampai pada tahap menyelesaikan soal² psikotes. Setelah selesai psikotes tidak dapat lanjut ke pemilihan satpas terdekat sesuai KTP (Sidoarjo). Tanggal 8 November 2024 saya buka kembali untuk melanjutkan proses perpanjangan SIM secara online, akan tetapi ketika membuka aplikasi kembali lagi ke menu registrasi dan mengalami kegagalan dengan notifikasi harap menyesuaikan NIK. Padahal hari sebelumnya sukses.",0
2024-11-08 07:26:11,Kukuh Jaya Sukmana P,5,"terima kasih banyak, dengan adanya pelayanan SIM online sangat membantu dan signifikan perubahan pelayanannya jadi lebih baik",0
2024-11-08 07:13:55,Harsuk channel,5,Proses cukup cepat dan amanah Terimakasih,0
2024-11-08 07:09:23,Ridwan,5,Yang masa pengembngan lebih sepat dong,0
